,Table  S5.  Parameters  of  the  structural  descriptors  S3 (see  Eq.  S8)  used  to  describe  the  atomic,,,,,,
"environment. rc is the cutoff radius, n, m, ζ and λ are power parameters.",,,,,,,
No.,rc,nb1,nb2,n,m,ζ,λ
1,2.3,All,All,2,4,4,1
2,2.3,All,All,2,4,4,-1
3,2.9,All,All,1,-3,4,1
4,2.9,All,All,1,-3,4,-1
5,4.0,All,All,1,1,4,1
6,4.0,All,All,1,1,4,-1
7,3.0,H,H,2,2,8,1
8,3.0,H,H,2,2,8,-1
9,3.5,H,Ti,2,2,8,1
10,3.5,H,Ti,2,2,8,-1
11,3.5,Ti,Ti,2,2,8,1
12,3.5,Ti,Ti,2,2,8,-1
13,3.5,O,O,2,2,8,1
14,3.5,O,O,2,2,8,-1
15,3.5,Ti,O,2,2,8,1
16,3.5,Ti,O,2,2,8,-1
17,3.5,H,O,2,2,8,1
18,3.5,H,O,2,2,8,-1
19,6.5,H,H,2,2,4,1
20,6.5,H,Ti,2,2,4,1
21,6.5,Ti,Ti,2,2,4,1
22,6.5,O,O,2,2,4,1
23,6.5,Ti,O,2,2,4,1
24,6.5,H,O,2,2,4,1
,Table  S6.  Parameters  of  the  angular  structural  descriptors  S4 (see  Eq.  S9)  used  to  describe  the,,,,,,
