Dataset_ID,SMILES,PC1,PC2,PC3,PC4,PC5,PC6,PC7
gdb_1,C,20.339843744240824,-7.221594055360112,17.58354448496106,-1.8510317555120184,2.27270097646736,-0.7995506905625478,-0.8223870960009946
gdb_2,N,21.597996540104592,-11.544242253187134,27.480189675126933,4.945398071451706,1.8776758586280091,-2.1301813681219435,0.3938529848274397
gdb_3,O,25.866498485114796,-16.158854395380594,43.276825020837784,6.013536295665398,3.631114650289615,-3.126522440635836,-0.09507871241621531
gdb_4,C#C,12.363442174580394,-4.295961977734951,0.5982210656771045,-0.03611028305785528,-0.07093120536745873,-0.0001085681989549097,-0.7880362661909307
gdb_5,C#N,12.197439152233468,-5.717114059906429,2.0709955059062617,-2.9453786666875392,1.0892122222287568,-0.477714873166329,0.1797461561160416
gdb_6,C=O,9.945703894031018,-6.260067977058788,0.6336905579341175,1.0861193210380065,0.3315878039200049,-0.967058533340733,-0.32496561622205816
gdb_7,CC,12.229384212414171,-1.5510302239072304,-0.8150959721084524,-2.8281604515383862,0.20421821176593558,0.461682207413494,-0.4967458460850271
gdb_8,CO,10.317490985280545,-3.4081885827372553,-0.24793899959793214,-0.19238989534254128,-0.7879284748058873,0.6002273522478455,0.40223108917038664
gdb_9,CC#C,9.243108773980099,-2.1640967748730247,-2.3525113438672807,0.12949556717241417,-0.4754644144876218,0.13316040895879225,-0.15443866075950322
gdb_10,CC#N,8.702630289732518,-3.300407922370276,-2.032960051435761,-2.6828958019745306,0.3658643954581348,-0.15256925997302137,1.0819773386564588
gdb_11,CC=O,7.059852763268601,-4.001973689086943,-2.1986586146235227,0.7306239381150861,-0.12890216102762192,-0.6012440743885515,0.16972420528034873
gdb_12,NC=O,6.856285431517142,-3.8950118373002898,-1.6656703904440233,-0.07420331164953956,-0.7559407841638629,0.2801279330721014,1.1963464887634285
gdb_13,CCC,9.744006352079985,-0.19297548786845883,-1.7940877390385401,-2.4153074553385885,0.1711372020794919,0.319536635483707,-0.5077192688438622
gdb_14,CCO,7.876151889993429,-1.704842756580026,-1.6283812184597408,-0.41317113378682907,-0.8447126258205264,0.6897722111720196,0.31239882821696324
gdb_15,COC,7.961222105106383,-1.5494302832875224,-1.5065843260733205,-0.11333735117492633,-1.0570341687498095,0.8605006118453196,0.29683376756670987
gdb_16,C1CC1,10.106762653819462,-1.095286434509017,-0.9500597703081206,-1.0869830825690363,-0.44293792132907067,0.6375068799793675,-0.34253734548506076
gdb_17,C1CO1,8.635064867564502,-2.34929627503389,-0.43967080282587995,-0.8282753467012879,-1.0849706537460588,1.1700531354434764,0.6280163432188269
gdb_18,CC(C)=O,5.138481904954861,-2.6861531994182917,-1.825269767211193,0.9351516079205139,-0.16651181232542367,-0.5864041757727293,0.3519873171814237
gdb_19,CC(N)=O,4.896465208890301,-2.628165305340026,-1.3937731943867522,0.20391430144070907,-0.7622503016563998,0.2639715778129115,1.1631273140794933
gdb_20,NC(N)=O,4.6299017935297115,-2.694450559622161,-1.0293482243377017,-0.3914523295030255,-1.1456259880411594,0.9811994679201007,1.1141255617662464
gdb_21,CC(C)C,7.739789949660109,0.816954543996235,-1.3563354516034378,-2.122274443850205,0.39782841178266953,0.050870451419907335,-0.6187334906831325
gdb_22,CC(C)O,5.930644919227826,-0.588113176447192,-1.227279165750874,-0.39522895788447265,-0.6093559099156541,0.5047564203866618,0.20021996520354918
gdb_23,C#CC#C,6.83890505533996,-2.812557920775834,-2.7840228042557733,0.9367280825910418,0.25609365757558555,-0.7116310024567601,-1.4531585009113814
gdb_24,C#CC#N,6.0465307385072675,-4.315113122667246,-2.644519453531127,-1.3093810860674568,0.9911465652307256,-1.1862846969677017,0.2056269315762977
gdb_25,N#CC#N,6.06847264546415,-4.513504950160196,-2.4418385378861824,-3.0172549834236633,1.5312330439933743,-0.5773174802188836,-2.8738102522564195
gdb_26,O=CC#C,4.989389470750247,-4.4667762629097645,-2.515550345476413,0.09740732595677713,0.5802200763157689,-1.0413166428456244,-0.4603316870347173
gdb_27,O=CC#N,4.524850366646176,-5.27172078536617,-2.3969352875669165,-1.1921956273473346,1.0353495827819386,-0.9510736433302773,-1.3767634516290668
gdb_28,O=CC=O,3.58140365917964,-4.88632563310477,-2.254906243350295,0.8617772489318984,0.24646932911055786,-0.4517478528704153,-2.587764900301484
gdb_29,CC#CC,7.0695134801530735,-0.38545104643556255,-2.221975681145762,0.8141984630000209,-0.41070672728558666,-0.024805479000958763,-0.48628221067943206
gdb_30,CCC#C,7.179724914093012,-0.8700053320926358,-2.161155535681345,0.1445555431899669,-0.22260243215248998,-0.09741115375779648,-0.2594847580247639
gdb_31,CCC#N,6.600569676321782,-2.0251399290957113,-1.9197107515682663,-2.578172487905992,0.5546357659469535,-0.36587449638373604,1.070114847095266
gdb_32,NCC#N,5.510783919854835,-2.9417359332435873,-2.0318763896070555,-0.594549140174402,-0.13053032614924634,-0.3241128363722997,1.4390406351025196
gdb_33,OCC#C,5.651590393768052,-2.3140473633282004,-1.9483428470586226,-0.06923730055768543,-0.44747799020488216,0.23549380136060954,-0.10576031100977945
gdb_34,OCC#N,4.932243041830712,-3.527406969099707,-1.7860181481152921,-1.9632878029609557,0.12243860635182656,-0.06272563043940055,1.1511669857253872
gdb_35,CCC=O,4.955679915096322,-2.6558110604081246,-2.1262422654741964,0.7457049208747322,0.061943641013149864,-0.7800939864807946,0.18286857048213898
gdb_36,CNC=O,4.847238706076566,-2.49666063336244,-1.5601241048719188,-0.11672505286203036,-0.6297869852970017,0.20997990390702154,1.1582674978087355
gdb_37,COC=O,4.0838972170861,-3.1710980912617726,-1.4887738523271006,-1.2532484631472092,-0.28747003270390553,0.2895874830073392,0.782959628555934
gdb_38,OCC=O,3.772478560876877,-3.522588013723588,-1.8301422308978215,0.4459278554332657,-0.3568791668261801,0.06376685317766116,-0.7511741365140052
gdb_39,CCCC,7.6374523963395005,1.1938081747728093,-1.5725290843361885,-2.277955797337511,0.4083430419104699,0.08512304922572198,-0.5904079916867944
gdb_40,CCCO,5.819202025148825,-0.2637260447136913,-1.4739058374756868,-0.5490691402027268,-0.5908193463067156,0.5274862791947047,0.20866928863128323
gdb_41,CCOC,5.882029258436484,-0.0818183321342909,-1.4125695363490505,-0.15994776578551384,-0.8387558670453754,0.7086391097118533,0.1840803826450334
gdb_42,OCCO,4.688727914002186,-1.3407691784504765,-1.0831285648383107,-0.43388494027061836,-1.0895452757861313,1.3769045221985479,-1.0074292915205807
